2025/04/08 14:57:52 Engine initialized
2025/04/08 14:57:52 Starting asset for KRW-BTC
2025/04/08 14:57:52 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 14:57:52 Engine started
2025/04/08 14:57:52 Starting stream for KRW-BTC
2025/04/08 14:57:52 Starting stream for BTCUSDT
2025/04/08 14:57:52 Starting stream for KRW-USDT
2025/04/08 14:57:59 Engine stopping...
2025/04/08 14:57:59 Engine stopped
2025/04/08 15:04:42 Engine initialized
2025/04/08 15:04:42 Starting asset for KRW-BTC
2025/04/08 15:04:42 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 15:04:42 Engine started
2025/04/08 15:04:42 Starting stream for KRW-BTC
2025/04/08 15:04:42 Starting stream for BTCUSDT
2025/04/08 15:04:42 Starting stream for KRW-USDT
2025/04/08 15:04:42 Starting strategy
2025/04/08 15:05:23 Premium: 1.0004635569672689, KimchiPrice: 1.18665e+08, AnchorPrice: 1489, CefiPrice: 79657.5
2025/04/08 15:05:24 Premium: 0.999974301536439, KimchiPrice: 1.1872e+08, AnchorPrice: 1490, CefiPrice: 79679.9
2025/04/08 15:05:25 Premium: 1.0001349327562634, KimchiPrice: 1.18727e+08, AnchorPrice: 1490, CefiPrice: 79671.8
2025/04/08 15:05:26 Premium: 1.0001826371387568, KimchiPrice: 1.18727e+08, AnchorPrice: 1490, CefiPrice: 79668
2025/04/08 15:05:27 Premium: 1.0008543514686015, KimchiPrice: 1.18727e+08, AnchorPrice: 1489, CefiPrice: 79668
2025/04/08 15:05:28 Premium: 1.0017466613369772, KimchiPrice: 1.18833e+08, AnchorPrice: 1489, CefiPrice: 79668.1
2025/04/08 15:05:29 Premium: 1.0019390804850608, KimchiPrice: 1.18833e+08, AnchorPrice: 1489, CefiPrice: 79652.8
2025/04/08 15:05:30 Premium: 1.0019491436506358, KimchiPrice: 1.18833e+08, AnchorPrice: 1489, CefiPrice: 79652
2025/04/08 15:05:31 Premium: 1.0019793343602534, KimchiPrice: 1.18833e+08, AnchorPrice: 1489, CefiPrice: 79649.6
2025/04/08 15:05:32 Premium: 1.0010303082524854, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.3
2025/04/08 15:05:33 Premium: 1.0010290514566926, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:34 Premium: 1.0010290514566926, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:35 Premium: 1.0010303082524854, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.3
2025/04/08 15:05:36 Premium: 1.0018975318500556, KimchiPrice: 1.18823e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:37 Premium: 1.0019240853134253, KimchiPrice: 1.18826e+08, AnchorPrice: 1489, CefiPrice: 79649.3
2025/04/08 15:05:38 Premium: 1.0019228273954932, KimchiPrice: 1.18826e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:39 Premium: 1.0019228273954932, KimchiPrice: 1.18826e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:40 Premium: 1.0010303082524854, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.3
2025/04/08 15:05:41 Premium: 1.0010290514566926, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:42 Premium: 1.0010290514566926, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:43 Premium: 1.0010290514566926, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79649.4
2025/04/08 15:05:44 Premium: 1.000958675928626, KimchiPrice: 1.1872e+08, AnchorPrice: 1489, CefiPrice: 79655
2025/04/08 15:05:45 Premium: 1.0006201695083448, KimchiPrice: 1.1868e+08, AnchorPrice: 1489, CefiPrice: 79655.1
2025/04/08 15:05:46 Premium: 0.9999486123476009, KimchiPrice: 1.1868e+08, AnchorPrice: 1490, CefiPrice: 79655.1
2025/04/08 15:05:47 Premium: 0.9998695316854763, KimchiPrice: 1.1868e+08, AnchorPrice: 1490, CefiPrice: 79661.4
2025/04/08 15:05:48 Premium: 1.0000439164077926, KimchiPrice: 1.18708e+08, AnchorPrice: 1490, CefiPrice: 79666.3
2025/04/08 15:05:49 Premium: 1.0000426611183402, KimchiPrice: 1.18708e+08, AnchorPrice: 1490, CefiPrice: 79666.4
2025/04/08 15:05:50 Premium: 1.0000357997990998, KimchiPrice: 1.1872e+08, AnchorPrice: 1490, CefiPrice: 79675
2025/04/08 15:05:51 Premium: 1.0009274326432047, KimchiPrice: 1.18826e+08, AnchorPrice: 1490, CefiPrice: 79675.1
2025/04/08 15:05:52 Premium: 1.0009789420063837, KimchiPrice: 1.18826e+08, AnchorPrice: 1490, CefiPrice: 79671
2025/04/08 15:05:53 Premium: 1.0009801983985447, KimchiPrice: 1.18826e+08, AnchorPrice: 1490, CefiPrice: 79670.9
2025/04/08 15:05:54 Premium: 1.0009801983985447, KimchiPrice: 1.18826e+08, AnchorPrice: 1490, CefiPrice: 79670.9
2025/04/08 15:05:55 Premium: 1.000998614421858, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79663.4
2025/04/08 15:05:56 Premium: 1.0009973578882956, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79663.5
2025/04/08 15:05:57 Premium: 1.000998614421858, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79663.4
2025/04/08 15:05:58 Premium: 1.0013333757996377, KimchiPrice: 1.18817e+08, AnchorPrice: 1489.5, CefiPrice: 79663.5
2025/04/08 15:05:59 Premium: 1.001334632754997, KimchiPrice: 1.18817e+08, AnchorPrice: 1489.5, CefiPrice: 79663.4
2025/04/08 15:06:00 Premium: 1.001334632754997, KimchiPrice: 1.18817e+08, AnchorPrice: 1489.5, CefiPrice: 79663.4
2025/04/08 15:06:01 Premium: 1.0002235412208278, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79663.4
2025/04/08 15:06:02 Premium: 1.001041338440048, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79660
2025/04/08 15:06:03 Premium: 1.0018406516932756, KimchiPrice: 1.18817e+08, AnchorPrice: 1489, CefiPrice: 79649.9
2025/04/08 15:06:04 Premium: 1.0011682754169715, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79649.9
2025/04/08 15:06:05 Premium: 1.0012210705679556, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79645.7
2025/04/08 15:06:06 Premium: 1.0012914727647784, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79640.1
2025/04/08 15:06:07 Premium: 1.001400867247521, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79631.4
2025/04/08 15:06:08 Premium: 1.0014021247943237, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79631.3
2025/04/08 15:06:09 Premium: 1.0014310492425402, KimchiPrice: 1.18817e+08, AnchorPrice: 1490, CefiPrice: 79629
2025/04/08 15:06:10 Premium: 1.0006179432099065, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79632
2025/04/08 15:06:11 Premium: 1.0005764786933844, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79635.3
2025/04/08 15:06:12 Premium: 1.0005928127896535, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79634
2025/04/08 15:06:13 Premium: 1.000591556301776, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79634.1
2025/04/08 15:06:14 Premium: 1.0005174291021004, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79640
2025/04/08 15:06:15 Premium: 1.0005161728035408, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79640.1
2025/04/08 15:06:16 Premium: 1.0005161728035408, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79640.1
2025/04/08 15:06:17 Premium: 1.0005174291021004, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79640
2025/04/08 15:06:18 Premium: 1.0005174291021004, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79640
2025/04/08 15:06:19 Premium: 1.000244886233802, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79661.7
2025/04/08 15:06:20 Premium: 1.0005793955174098, KimchiPrice: 1.18725e+08, AnchorPrice: 1489.5, CefiPrice: 79661.8
2025/04/08 15:06:21 Premium: 1.0014346863570598, KimchiPrice: 1.18815e+08, AnchorPrice: 1489.5, CefiPrice: 79654.1
2025/04/08 15:06:22 Premium: 1.0010986344488861, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79654.1
2025/04/08 15:06:23 Premium: 1.0014141925461206, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79629
2025/04/08 15:06:24 Premium: 1.0014670145263163, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79624.8
2025/04/08 15:06:25 Premium: 1.0005053605220875, KimchiPrice: 1.18799e+08, AnchorPrice: 1490, CefiPrice: 79690.6
2025/04/08 15:06:26 Premium: 0.9997880508279529, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79698.1
2025/04/08 15:06:27 Premium: 0.9997880508279529, KimchiPrice: 1.18725e+08, AnchorPrice: 1490, CefiPrice: 79698.1
2025/04/08 15:06:28 Premium: 1.0004505416583134, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79705.7
2025/04/08 15:06:29 Premium: 1.0004492864792152, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79705.8
2025/04/08 15:06:30 Premium: 1.0004492864792152, KimchiPrice: 1.18815e+08, AnchorPrice: 1490, CefiPrice: 79705.8
